playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
182907,Tramaine Chism,DI,0,0,,2026,401,,60.8,65.1,D92,0,0,1,0,1,0,0,0,2,0,TARLETON,TARLETON,3,59.6,,,,,,
183538,DJ Kennard,S,0,0,,2029,291,,60.8,67.2,D31,0,0,1,0,0,8,0,3,0,0,S DAKOTA,S DAKOTA,11,,,,,,,
183859,Jeilani Davis,CB,0,0,,2029,232,,67.7,65.9,D03,0,0,1,0,0,9,1,0,0,1,MONTANA,MONTANA,10,,,,,59.9,,
183900,Boone Morris,LB,0,0,,2029,100,,61.1,65.7,D52,0,0,1,0,0,0,8,4,0,0,ABILENE CH,ABILENE CH,12,,,,,,,
184049,Zion Fonua,LB,0,0,,2027,100,,59.3,64,D23,0,0,1,0,7,0,0,0,0,0,ABILENE CH,ABILENE CH,7,59.2,,,,,,
184220,AJ Hasson,T,0,0,,2029,322,61,61.6,67.2,60,0,0,1,7,0,0,4,0,0,0,UC DAVIS,UC DAVIS,11,,,,,,,
184668,Gabe Winowich,HB,0,0,,2029,274,,58.3,69.4,20,0,0,1,0,0,0,8,0,0,0,RHODE ISLD,RHODE ISLD,8,,,,,,,
185112,Rayne Mayo Jr.,DI,0,0,,2029,322,62.5,61.5,67.7,D92,0,0,1,7,2,0,0,0,2,0,UC DAVIS,UC DAVIS,11,59.3,,,,,,
185113,Jayden Montanez,G,0,0,,2029,322,60,61.9,67.7,67,0,0,1,7,0,0,0,0,0,0,UC DAVIS,UC DAVIS,7,,,,,,,
185117,David Porotesano,T,0,0,,2029,322,60,61.5,64.3,65,0,0,1,7,0,0,0,0,0,0,UC DAVIS,UC DAVIS,7,,,,,,,
185119,Jackson Sievers,LB,0,0,,2029,322,,60.9,62.4,D15,0,0,1,0,3,0,0,0,2,0,UC DAVIS,UC DAVIS,5,60,,,,,,
185425,Charles Barkley-Smith,CB,0,0,,2029,352,,61.7,68.3,D14,0,0,1,0,0,2,4,0,3,0,YALE,YALE,9,,,,,,,
185427,Billy Eastep,S,0,0,,2028,352,,60.3,65.5,D05,0,0,1,0,3,2,4,0,0,0,YALE,YALE,9,60,,,,,,
185431,Mack Johnson,DI,0,0,,2029,352,60,60.5,64.1,D93,0,0,1,1,1,0,0,0,1,0,YALE,YALE,3,59.7,,,,,,
185438,Steven Partin,LB,0,0,,2029,352,,60.3,68.4,D12,0,0,1,0,0,2,4,4,0,0,YALE,YALE,10,,,,,,,
185440,Xavier Rivers,ED,0,0,,2029,352,,62.9,70,D56,0,0,1,0,0,2,0,0,3,0,YALE,YALE,5,,,,,,,
185443,JP Schmidt,S,0,0,,2028,352,,61.5,65.2,D15,0,0,1,0,2,1,0,0,3,0,YALE,YALE,6,60,,,,,,
185446,Brady Wagner,TE,0,0,,2029,352,,49,69.7,22,1,0,1,0,0,3,4,0,3,0,YALE,YALE,10,,,,,,,
185447,Chris White,CB,0,0,,2029,352,,73.7,69.7,D20,0,0,1,0,1,1,1,4,1,1,YALE,YALE,8,59.9,,,,,,
185456,Doreon Dubose,CB,0,0,,2029,188,,74.4,67.3,D24,0,0,1,0,0,4,0,3,3,1,ILL STATE,ILL STATE,10,,,,,,,
185457,Ben Cooper,LB,0,0,,2029,188,,68.8,66,D38,0,0,1,0,0,5,5,0,0,2,ILL STATE,ILL STATE,10,,,,,,,
185464,Dexter Niekamp,ED,0,0,,2029,188,,60.2,63.5,D44,0,0,1,0,1,0,0,0,1,0,ILL STATE,ILL STATE,2,60,,,,,,
185472,Andrew Rockford,WR,0,0,,2027,188,,62.2,67.8,24,0,0,1,0,0,0,5,0,4,0,ILL STATE,ILL STATE,9,,,,,,,
185473,Aidan Crews,CB,0,0,,2029,188,,65.3,68.8,D29,0,0,1,0,0,5,0,1,5,0,ILL STATE,ILL STATE,11,,,,,,,
185476,CJ Richard Jr.,S,0,0,,2029,188,,61.4,64,D20,0,0,1,0,4,0,0,0,3,0,ILL STATE,ILL STATE,7,60,,,,,,
185539,John Butsch,LB,0,0,,2026,249,,60.9,63.9,D16,0,0,1,0,0,3,0,0,0,0,N DAKOTA,N DAKOTA,3,,,,,,,
185543,Donovan Woolen,S,0,0,,2029,250,,67.6,66.3,D01,0,0,1,0,3,0,0,8,2,0,N DAK ST,N DAK ST,13,59.9,,,,,,
185545,Nate Ewell,LB,0,0,,2026,291,,60,63.8,D00,0,0,1,0,0,0,0,0,2,0,S DAKOTA,S DAKOTA,2,,,,,,,
185547,Max Pelham,P,0,0,,2027,292,60,60.7,66.6,S41,0,0,1,3,0,0,0,5,0,0,S DAK ST,S DAK ST,8,,,,,,55.8,
185682,Sammy Ayache,T,0,0,,2029,205,60,60.2,63.6,64,0,0,1,2,0,0,0,0,0,0,LEHIGH,LEHIGH,2,,,,,,,
185684,Nolan Coen,S,0,0,,2029,205,,60.1,64.1,D23,0,0,1,0,0,0,0,0,2,0,LEHIGH,LEHIGH,2,,,,,,,
185686,Aaron Crossley,HB,0,0,,2029,205,60,62.5,70.5,05,0,0,1,2,0,2,3,5,7,0,LEHIGH,LEHIGH,19,,,,,,,
