playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
184855,Jeremiah McClellan,WR,0,,2029,264,64.1,75.6,75.4,,73.9,70.5,11,0,4,0,0,7,0,23,30,7,23,OREGON,OREGON,,
184859,Ryan Pellum Taylor,WR,0,,2030,264,10.6,43.3,0,,59.4,60,81,1,2,0,0,1,0,2,3,1,2,OREGON,OREGON,,
184864,Roger Saleapaga II,TE,0,,2029,264,,55.9,75.8,61,53.6,58.1,83,0,7,0,1,5,0,30,36,6,30,OREGON,OREGON,,
184873,Malakai Hoeft,LB,0,,2027,285,,60,65,,,60,D24,0,1,0,0,0,0,1,1,0,1,S JOSE ST,S JOSE ST,,
184878,Jacob Stewart,WR,0,,2026,285,72.9,55.6,33.3,32.2,58.2,46.5,81,3,13,1,3,282,0,141,427,286,141,S JOSE ST,S JOSE ST,,60
184879,Max Anderson,G,0,,2030,307,,58.8,78.4,49.9,,58.9,71,0,2,0,11,0,0,36,47,11,36,TENNESSEE,TENNESSEE,,
184883,Gage Ginther,T,0,,2028,307,,48.7,72.6,0,,57.7,78,0,1,0,4,0,0,15,19,4,15,TENNESSEE,TENNESSEE,,
184885,Peyton Lewis,HB,0,,2029,307,84.3,71.6,79.2,44.5,48.3,59.1,27,0,9,0,25,34,64,7,130,59,71,TENNESSEE,TENNESSEE,74.3,
184887,Mike Matthews,WR,0,,2029,307,67.8,61.1,82.3,,56.8,83.1,10,0,11,0,0,103,0,96,199,103,96,TENNESSEE,TENNESSEE,,
184888,Jake Merklinger,QB,0,,2029,307,69.3,64.9,74.5,,,60,12,0,2,12,0,0,4,20,36,12,24,TENNESSEE,TENNESSEE,60.2,64.8
184890,Jesse Perry,T,1,,2029,307,,71.6,76.9,78.6,,67.2,72,2,3,0,30,0,0,42,72,30,42,TENNESSEE,TENNESSEE,,
184891,William Satterwhite II,C,0,,2029,307,,54.8,78,79.5,,52.1,50,0,3,0,19,0,0,26,45,19,26,TENNESSEE,TENNESSEE,,
184893,Braylon Staley,WR,0,,2029,307,64.1,52.8,77.7,,52,61,14,0,3,0,0,43,0,40,83,43,40,TENNESSEE,TENNESSEE,,
184894,Cameran Brown,QB,0,,2027,315,71.6,42.7,73.1,,60,60,07,0,3,9,0,1,8,3,21,10,11,TEXAS TECH,TEXAS TECH,69,27.6
184897,Cameron Dickey,HB,0,,2029,315,81.1,75.8,78.8,48.2,69.6,48.8,33,0,10,0,13,53,41,7,114,66,48,TEXAS TECH,TEXAS TECH,78.2,
184898,Will Hammond,QB,0,,2029,315,29.1,61.5,49.4,,60,60,15,1,4,68,0,1,9,70,148,69,79,TEXAS TECH,TEXAS TECH,58.6,61.4
184900,Holton Hendrix,G,0,,2029,315,,64.2,74.9,79.1,,62.4,53,0,2,0,7,0,0,14,21,7,14,TEXAS TECH,TEXAS TECH,,
184902,Micah Hudson,WR,0,,2029,315,66.7,66.4,81.7,,65.8,62.3,01,0,7,0,0,52,0,35,87,52,35,TEXAS TECH,TEXAS TECH,,
184903,Trey Jackson,TE,0,,2029,315,,51.6,66.3,,59.6,60,88,0,1,0,0,1,0,1,2,1,1,TEXAS TECH,TEXAS TECH,,
184909,Jacob Ponton,T,0,,2029,315,,64.6,78.9,54.1,,65.7,70,0,4,0,52,0,0,49,101,52,49,TEXAS TECH,TEXAS TECH,,
184911,Tyson Turner,WR,0,,2029,315,61,59.3,70.6,,59.1,60.5,86,0,2,0,0,3,0,5,8,3,5,TEXAS TECH,TEXAS TECH,,
184925,Keylen Adams,WR,0,,2029,337,64.3,68.3,73.8,,64.9,61.3,06,0,3,0,0,10,1,7,18,10,8,VA TECH,VA TECH,62.6,
184927,John Buetow,FB,0,,2029,337,,60,71.3,,,60,35,0,2,0,0,0,0,5,5,0,5,VA TECH,VA TECH,,
184932,Elijah Haughawout,G,0,,2029,337,,60,65,,,60,51,0,1,0,0,0,0,1,1,0,1,VA TECH,VA TECH,,
184937,Tyler Mason,HB,0,,2029,337,73.1,67.8,75.2,9.3,58.5,58.6,23,0,2,0,3,9,10,8,30,12,18,VA TECH,VA TECH,71.7,
184940,Chanz Wiggins,WR,0,,2029,337,,57.1,73.1,,56.9,60.6,07,0,3,0,0,5,0,9,14,5,9,VA TECH,VA TECH,,
184945,Jaylan Bean,WR,0,,2030,351,,52.4,77.9,,52.4,57.9,88,0,5,0,0,21,0,20,41,21,20,WYOMING,WYOMING,,
184950,Chris Durr Jr.,WR,0,,2029,351,72.4,74.9,82.2,,76.6,47.3,15,0,12,0,0,156,1,70,227,156,71,WYOMING,WYOMING,57.5,
184951,Justin Erb,TE,0,,2026,351,,51.9,81.8,59.2,44.4,58.1,80,0,12,0,12,33,0,108,153,45,108,WYOMING,WYOMING,,
184974,Jake Wilson,TE,0,,2030,351,62.5,53.9,69.8,,55.2,60,89,0,4,0,0,5,1,1,7,5,2,WYOMING,WYOMING,57.7,
184979,Kwazi Gilmer,WR,0,,2029,324,72.3,63,59.7,,63,57.5,03,2,11,0,0,303,1,148,452,303,149,UCLA,UCLA,63.4,
186405,Roman Bradley,FB,0,,2027,101,77,54.1,0,66.8,57.4,58.6,24,1,2,0,19,3,21,31,74,22,52,AIR FORCE,AIR FORCE,55.6,
186410,Owen Chambers,WR,0,,2028,101,61.9,56,71.1,,57.9,54.2,20,0,2,0,0,4,0,6,10,4,6,AIR FORCE,AIR FORCE,,
186411,Kyle Chen,S,0,,2029,101,,60,71.8,,,60,D20,1,1,0,0,0,0,1,1,0,1,AIR FORCE,AIR FORCE,,
186412,Rocco Conti,HB,0,,2028,101,71.9,53.5,76.9,,52.6,63.3,35,0,5,0,0,16,8,27,51,16,35,AIR FORCE,AIR FORCE,52.8,
186416,Nathan Elwood,T,0,,2028,101,,67.2,75.7,78,,64.1,52,0,7,0,8,0,0,43,51,8,43,AIR FORCE,AIR FORCE,,
186417,Alec Falk,G,0,,2028,101,,65.1,87.9,66.1,,63.2,75,0,11,0,103,0,0,410,513,103,410,AIR FORCE,AIR FORCE,,
186418,Luke Fisher,LB,0,,2028,101,,60,60,,,60,D48,0,1,0,0,0,0,1,1,0,1,AIR FORCE,AIR FORCE,,
186423,Quentin Hayes,QB,0,,2028,101,44.7,85.1,85.8,,89.9,60,07,0,10,68,0,3,116,266,453,71,382,AIR FORCE,AIR FORCE,81,64.8
186426,Kemper Hodges,FB,0,,2028,101,30,54.2,81,40.6,58,49.8,14,0,8,0,22,3,19,35,79,25,54,AIR FORCE,AIR FORCE,59.1,
186429,Josh Johnson,QB,0,,2028,101,32.4,48.8,75.6,,,60,11,0,6,20,0,0,11,19,50,20,30,AIR FORCE,AIR FORCE,55.9,47.9
186432,Tyler Lawrence,T,0,,2028,101,,62.9,79.8,27.4,,65.9,68,2,6,0,29,0,0,108,137,29,108,AIR FORCE,AIR FORCE,,
186435,Omari Murdock,TE,0,,2028,101,,60,63.5,,60,,86,0,1,0,0,1,0,0,1,1,0,AIR FORCE,AIR FORCE,,
186437,Cade Palmer,FB,0,,2028,101,,60,68,0,,60,23,0,2,0,1,0,0,2,3,1,2,AIR FORCE,AIR FORCE,,
186446,Gage Spencer,T,0,,2027,101,,58,71.5,63.4,,56.2,63,0,2,0,7,0,0,8,15,7,8,AIR FORCE,AIR FORCE,,
186447,Griffin Stalfort,G,0,,2028,101,,60,64.1,,,60,53,0,1,0,0,0,0,1,1,0,1,AIR FORCE,AIR FORCE,,
186448,TJ Tarascio,G,0,,2028,101,,72.5,76.8,54.2,,73.9,58,0,5,0,12,0,0,22,34,12,22,AIR FORCE,AIR FORCE,,
186458,Blake Arnoult,LS,0,,2025,141,,60,60,63.8,,60,S48,0,2,0,1,0,0,1,2,1,1,COAST CAR,COAST CAR,,
186464,Zachary Coleman,WR,0,,2028,141,,60,67.3,,,60,83,0,1,0,0,0,0,2,2,0,2,COAST CAR,COAST CAR,,
186474,Chase Jackson,S,0,,2029,141,,58.1,60,,57.7,,D26,0,1,0,0,1,0,0,1,1,0,COAST CAR,COAST CAR,,
186476,Daniel Jones,T,0,,2029,141,,44.9,74.5,30.9,,48.3,70,0,4,0,10,0,0,24,34,10,24,COAST CAR,COAST CAR,,
186481,Se'Von McDowell,LB,0,,2029,141,,60,60,63.8,,,D19,0,1,0,1,0,0,0,1,1,0,COAST CAR,COAST CAR,,
186483,Brayson McIver,C,0,,2029,141,,63.7,72.7,67.6,,62.8,63,0,2,0,1,0,0,9,10,1,9,COAST CAR,COAST CAR,,
186484,Gavin McLaughlin,G,0,,2029,141,,47.7,68,,,45.5,55,0,1,0,0,0,0,4,4,0,4,COAST CAR,COAST CAR,,
