playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
158172,Dean Briski,T,0,0,,2028,180,60.4,62.5,52,0,0,1,3,0,0,0,0,0,0,HAWAII,HAWAII,3,,60,,,,,,
158178,Peter Manuma,S,0,0,2026,2026,180,62.1,65.3,D01,0,0,1,0,5,0,0,0,4,0,HAWAII,HAWAII,9,60,,,,,,,
158180,Kona Moore,S,0,0,,2029,180,60.6,64.2,D02,0,0,1,0,0,2,0,0,0,0,HAWAII,HAWAII,2,,,,,,,,
158187,Jalen Smith,LB,0,0,,2026,180,60.6,63.7,D03,0,0,1,0,5,0,0,0,1,0,HAWAII,HAWAII,6,60,,,,,,,
158188,Ethan Spencer,C,0,0,,2028,180,61.7,66.8,57,0,0,1,5,0,0,0,0,0,0,HAWAII,HAWAII,5,,60.3,,,,,,
158190,Devon Tauaefa,TE,0,0,,2028,180,60.5,64.6,87,0,0,1,4,0,0,0,3,0,0,HAWAII,HAWAII,7,,60,,,,,,
158191,Matagi Thompson,S,0,0,,2028,180,61.5,67.6,D25,0,0,1,0,0,5,0,0,0,0,HAWAII,HAWAII,5,,,,,,,,
158267,Dylan Frazier,DI,0,0,,2027,281,58.8,63.8,D97,0,0,1,0,6,0,0,0,0,0,SM HOUSTON,SM HOUSTON,6,58.8,,,,,,,
158273,Rhett Larson,G,0,0,,2027,281,61.4,67.4,70,0,0,1,5,0,0,0,0,0,0,SM HOUSTON,SM HOUSTON,5,,60,,,,,,
158472,Ka'eo Akana,ED,0,0,,2028,180,60,63.5,D10,0,0,1,0,0,0,0,0,1,0,HAWAII,HAWAII,1,,,,,,,,
158484,Jaylon Glover,HB,0,0,,2028,325,50.5,65.8,20,0,0,1,0,0,6,6,2,1,0,UNLV,UNLV,15,,,,61.5,,,,
158651,Denver Harris,CB,0,0,,2028,325,60.7,65.8,D02,0,0,1,0,1,0,0,0,2,0,UNLV,UNLV,3,59.9,,,,,,,
158669,Kent Robinson,CB,0,0,,2026,346,61,67.2,D11,0,0,1,0,5,0,0,0,3,0,W KENTUCKY,W KENTUCKY,8,59.7,,,,,,,
158732,Rayshon Luke,HB,0,0,,2028,169,60,62.3,02,0,0,1,0,0,0,6,0,0,0,FRESNO ST,FRESNO ST,6,,,,57.7,,,,
159057,Elijah Gipson,CB,0,0,,2028,180,60.5,66.6,D13,0,0,1,0,5,0,0,0,1,0,HAWAII,HAWAII,6,59.8,,,,,,,
159431,Jahsiah Galvan,LB,0,0,,2027,300,60,60.7,D00,0,0,1,0,1,0,0,0,0,0,STANFORD,STANFORD,1,60,,,,,,,
160286,Tyler Bailey,S,0,0,,2027,281,64.9,66.9,D13,0,0,1,0,3,5,0,0,0,1,SM HOUSTON,SM HOUSTON,8,60,,,,,,,
160287,Thomas Jewett,TE,0,0,,2027,281,60.2,65,86,0,0,1,0,0,0,8,6,0,0,SM HOUSTON,SM HOUSTON,14,,,,,,,,
160290,Jaidan Scott,S,0,0,,2027,281,60,61.4,D04,0,0,1,0,4,0,0,0,0,0,SM HOUSTON,SM HOUSTON,4,60,,,,,,,
160295,Ca'lub Holloway,LB,0,0,,2027,281,69.3,66.9,D42,0,0,1,0,0,0,1,0,5,0,SM HOUSTON,SM HOUSTON,6,,,,,,,,
161397,Rylen Su'a-Filo,DI,0,0,,2027,346,62.1,66.9,D93,0,0,1,0,1,0,0,5,4,0,W KENTUCKY,W KENTUCKY,10,59.8,,,,,,,
161488,Tre Bell,CB,0,0,,2027,193,58.6,68.3,D07,0,0,1,0,1,0,0,4,4,0,IOWA STATE,IOWA STATE,9,59.9,,,,,,,
162442,Joe Swen,CB,0,0,,2028,281,60.2,65.6,D16,0,0,1,0,4,0,0,0,0,0,SM HOUSTON,SM HOUSTON,4,59.8,,,,,,,
162486,Jay Green,S,0,0,,2027,300,60.4,61.8,D05,0,0,1,0,5,0,0,0,1,0,STANFORD,STANFORD,6,60,,,,,,,
162657,Cam Barfield,HB,0,0,,2028,180,59.9,65.7,00,0,0,1,0,0,0,5,0,0,0,HAWAII,HAWAII,5,,,,,,,,
162783,Venson Sneed,ED,0,0,,2027,346,60.3,63.8,D55,0,0,1,0,4,0,0,0,1,0,W KENTUCKY,W KENTUCKY,5,59.6,,,,,,,
162856,Peyton Warford,LS,0,0,,2027,300,58.4,63.5,S93,0,0,1,5,0,0,0,4,0,0,STANFORD,STANFORD,9,,61.6,47.7,,,,,
163039,Anthony Brackenridge,LB,0,0,,2026,346,60.1,62.3,D03,0,0,1,0,3,0,0,0,1,0,W KENTUCKY,W KENTUCKY,4,60,,,,,,,
163045,K.D. Hutchinson,WR,0,0,,2027,346,60,63.3,02,0,0,1,0,0,0,0,0,3,0,W KENTUCKY,W KENTUCKY,3,,,,,29.3,,,
163069,Antavious Fish,LB,0,0,,2026,281,59.9,63.9,D06,0,0,1,0,7,0,0,2,0,0,SM HOUSTON,SM HOUSTON,9,60,,,,,,,
163243,Zion Allen,CB,0,0,,2028,180,59.9,66.6,D16,0,0,1,0,0,0,0,2,0,0,HAWAII,HAWAII,2,,,,,,,,
