playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesPuntReturn,gradesKickReturn,gradesLongSnap,gradesFgepKicker,gradesKickoffKicker,gradesPunter
157064,Bear Alexander,DI,0,0,,2027,264,59.9,67.2,D01,0,0,1,0,0,0,0,0,1,0,OREGON,OREGON,1,,,,,,,,
157144,Percy Lewis IV,T,0,0,,2026,226,61.9,62.2,73,0,0,1,6,0,0,0,0,0,0,OLE MISS,OLE MISS,6,,62,,,,,,
157204,James Ferguson-Reynolds,P,0,0,,2026,264,60.6,66,S46,0,1,1,3,0,0,0,3,0,0,OREGON,OREGON,6,,60,,,,,,61.7
157253,Devon Jackson,LB,0,0,,2027,264,60.8,65,D26,0,0,1,0,4,0,0,0,1,0,OREGON,OREGON,5,60.1,,,,,,,
157976,Adam Booker,LS,0,0,,2027,220,65,63,S46,0,0,1,6,0,0,0,3,0,0,MIAMI FL,MIAMI FL,9,,63.4,,,78.5,,,
158407,Alex Bauman,TE,0,0,,2026,220,61.1,66.6,87,0,0,1,6,0,0,7,3,0,0,MIAMI FL,MIAMI FL,16,,60,,,,,,
158448,Mitch McCarthy,P,0,0,,2026,190,60.9,64.4,S44,0,0,1,8,0,0,0,3,0,0,INDIANA,INDIANA,11,,60,,,,,,60.2
162732,Anez Cooper,G,0,0,2026,2026,220,61.9,62.2,73,0,0,1,6,0,0,0,0,0,0,MIAMI FL,MIAMI FL,6,,62,,,,,,
162733,Chris Graves Jr.,CB,0,0,,2027,226,60.6,67.2,D32,0,0,1,0,6,1,0,2,1,0,OLE MISS,OLE MISS,10,60,,,,,,,
162736,Matthew McCoy,G,0,0,,2027,220,61.7,68.3,78,0,0,1,6,0,0,0,0,0,0,MIAMI FL,MIAMI FL,6,,60.2,,,,,,
162930,Carter Davis,K,0,0,,2026,220,60.4,67.8,S38,0,0,1,6,0,6,0,0,0,0,MIAMI FL,MIAMI FL,12,,,,,,63.1,74.9,
163041,Lucas Carneiro,K,0,0,,2027,226,60.5,68.2,S17,0,0,1,6,0,7,0,0,0,0,OLE MISS,OLE MISS,13,,,,,,82.2,70.2,
163058,Hosea Wheeler,DI,0,0,,2027,190,59.6,62.5,D00,0,0,1,0,2,0,0,0,0,0,INDIANA,INDIANA,2,59.4,,,,,,,
163288,Bryce Boettcher,LB,0,0,2026,2026,264,60.3,65.6,D28,0,0,1,0,8,0,0,3,1,0,OREGON,OREGON,12,60,,,,,,,
163293,Zach Grisham,CB,0,0,,2027,264,60,63.7,D24,0,0,1,0,0,1,0,0,0,0,OREGON,OREGON,1,,,,,,,,
163294,Dave Iuli,G,0,0,,2027,264,60.6,61.5,74,0,0,1,2,0,0,0,0,0,0,OREGON,OREGON,2,,60,,,,,,
163302,Kawika Rogers,G,0,0,,2027,264,60.8,66.7,73,0,0,1,3,0,0,0,0,0,0,OREGON,OREGON,3,,60,,,,,,
163547,Ricky Fletcher,CB,0,0,,2027,226,60.7,66.7,D09,0,0,1,0,1,0,0,0,2,0,OLE MISS,OLE MISS,3,60,,,,,,,
163598,Antonio Kite,CB,0,0,,2027,226,60.7,66.6,D08,0,0,1,0,3,0,0,0,1,0,OLE MISS,OLE MISS,4,60,,,,,,,
163635,Patrick Kutas,G,0,0,,2027,226,61.5,64.8,75,0,0,1,6,0,0,0,0,0,0,OLE MISS,OLE MISS,6,,60,,,,,,
163644,Keionte Scott,CB,0,0,2026,2026,220,61.3,62.9,D00,0,0,1,0,6,1,0,0,3,0,MIAMI FL,MIAMI FL,10,59.9,,,,,,,
163648,Tyler Banks,LB,0,0,,2026,226,61.8,68.9,D38,0,0,1,0,6,6,6,3,2,0,OLE MISS,OLE MISS,23,60.1,,,,,,,
163652,Nick Cull,S,0,0,,2027,226,60.6,64,D29,0,0,1,0,4,0,0,0,1,0,OLE MISS,OLE MISS,5,59.9,,,,,,,
163658,Zxavian Harris,DI,0,0,2026,2026,226,60.2,64,D51,0,0,1,6,6,0,0,0,0,0,OLE MISS,OLE MISS,12,59.1,60,,,,,,
167564,Wydett Williams Jr.,S,0,0,2026,2026,226,60.4,62,D16,0,0,1,0,4,0,0,0,1,0,OLE MISS,OLE MISS,5,60,,,,,,,
169698,Malik Benson,WR,0,0,2026,2026,264,60,62.1,04,0,0,1,0,0,0,0,0,1,0,OREGON,OREGON,1,,,60.3,,,,,
170082,Rueben Bain Jr.,ED,0,0,2026,2026,220,60.8,65.3,D04,0,0,1,0,6,0,0,0,1,0,MIAMI FL,MIAMI FL,7,60.1,,,,,,,
170087,Dylan Joyce,P,0,0,,2028,220,60.8,64.7,S94,0,0,1,6,0,0,0,3,0,0,MIAMI FL,MIAMI FL,9,,60,,,,,,61.5
170089,Samson Okunlola,G,0,0,,2028,220,61.2,62,63,0,0,1,6,0,0,0,0,0,0,MIAMI FL,MIAMI FL,6,,60,,,,,,
170245,Princewill Umanmielen,ED,0,0,,2028,226,59.9,64.1,D01,0,0,1,0,6,0,0,0,1,0,OLE MISS,OLE MISS,7,59.4,,,,,,,
170366,Kamal Bonner,LB,0,0,,2028,220,62,68.7,D32,0,0,1,0,0,6,7,0,0,0,MIAMI FL,MIAMI FL,13,,,,,,,,
170434,Zechariah Poyser,S,0,0,,2028,220,61.1,62.3,D07,0,0,1,0,5,0,0,0,3,0,MIAMI FL,MIAMI FL,8,59.7,,,,,,,
170449,David Blay Jr.,DI,0,0,2026,2026,220,59.5,62.7,D11,0,0,1,0,3,0,0,0,0,0,MIAMI FL,MIAMI FL,3,59.4,,,,,,,
172259,D'Angelo Ponds,CB,0,0,2026,2026,190,60,64.5,D05,0,0,1,0,2,0,0,0,0,0,INDIANA,INDIANA,2,60,,,,,,,
