playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
163572,DJ Epps,WR,0,,2027,318,66.6,58,77.9,,,43.1,18,1,1,0,1,44,0,10,55,45,10,TROY,TROY,63.5,59.6
163576,Fabian Rogosch,TE,0,,2027,318,,48.2,70.6,,,49.4,85,0,1,0,1,2,0,7,10,3,7,TROY,TROY,64.5,56.9
163600,Danny Lewis Jr.,TE,0,,2027,103,,57,67.6,,,58.9,87,0,1,0,0,1,0,2,3,1,2,ALABAMA,ALABAMA,,59.3
163610,Shazz Preston,WR,0,,2027,319,62.9,62.4,77.7,,,62.8,07,0,1,0,0,13,0,30,43,13,30,TULANE,TULANE,,61.6
163734,Dillon Bell,WR,0,2026,2026,173,69.7,68,77.8,,65.1,38,86,1,1,0,0,20,4,24,48,20,28,GEORGIA,GEORGIA,,69.9
163753,Cole Speer,WR,0,,2026,173,,60,64.1,,,60,83,0,1,0,0,0,0,1,1,0,1,GEORGIA,GEORGIA,,
164014,Gerard Bullock Jr.,TE,0,,2027,200,61,57.6,79.1,,,58.7,17,1,1,0,6,26,0,26,58,32,26,KENNESAW,KENNESAW,72.9,55.9
164410,Chase Belcher,HB,0,,2026,200,65.3,61.6,69.1,,59.6,60,04,0,1,0,2,4,1,2,9,6,3,KENNESAW,KENNESAW,71,63.3
164839,Jordan Larsen,G,0,,2027,154,,48,78.9,,,44.4,64,0,1,0,23,0,0,29,52,23,29,DUKE,DUKE,68.5,
164945,Tyler Keinath,G,0,,2027,120,,60,65,,,60,78,0,1,0,0,0,0,1,1,0,1,BOISE ST,BOISE ST,,
165819,Anisi Purcell,DI,0,,2027,128,,60,60,,,,D94,0,1,0,1,0,0,0,1,1,0,BYU,BYU,63.8,
168565,Mory Bamba,CB,0,2026,2026,128,,58,64.9,,,,D04,1,1,0,0,1,0,0,1,1,0,BYU,BYU,,57.7
169972,Arnold Barnes III,HB,0,,2028,319,65.5,53.9,0,,63.4,63.8,20,1,1,0,2,1,2,4,9,3,6,TULANE,TULANE,7.4,59.9
169984,Darian Mensah,QB,0,,2028,154,28.6,69,76.9,69.9,57.3,60,10,0,1,30,0,0,2,37,69,30,39,DUKE,DUKE,,
169998,Nikola Milovac,T,0,,2028,200,,57.4,19.1,,,56.2,76,1,1,0,43,0,0,29,72,43,29,KENNESAW,KENNESAW,69.4,
170038,Tony Boggs,TE,0,,2028,154,,52,68.7,,,52.3,46,0,1,0,0,0,0,5,5,0,5,DUKE,DUKE,,
170041,Que'Sean Brown,WR,0,,2028,154,62.9,56.1,76.5,,,46,07,0,1,0,0,23,0,17,40,23,17,DUKE,DUKE,,58.4
170057,Kevin O'Connor,ED,0,,2028,154,62.5,64.5,60,,62.7,,D15,0,1,0,0,0,1,0,1,0,1,DUKE,DUKE,,
170131,Anthony Colandrea,QB,0,,2028,325,42.2,65.7,77.9,62.5,65.3,60.5,10,0,1,44,0,0,7,21,72,44,28,UNLV,UNLV,,
170213,Braeden Wisloski,WR,0,,2028,197,62.9,58.5,76.5,,,54.3,10,0,1,0,0,23,0,19,42,23,19,JAMES MAD,JAMES MAD,,59.1
170255,Brandon Inniss,WR,0,,2028,260,70.3,60.6,73.8,61,,59,01,0,1,1,0,17,0,3,21,18,3,OHIO STATE,OHIO STATE,,60.1
170261,Luke Montgomery,G,0,,2028,260,,63,79.3,,,66.7,51,0,1,0,35,0,0,22,57,35,22,OHIO STATE,OHIO STATE,41.9,
170269,Austin Siereveld,T,0,,2028,260,,61.7,76.6,,,51.6,67,0,1,0,35,0,0,22,57,35,22,OHIO STATE,OHIO STATE,81.9,
170273,Carnell Tate,WR,0,2026,2026,260,65,72.9,77.4,,,75.2,17,0,1,0,0,26,0,15,41,26,15,OHIO STATE,OHIO STATE,,70.7
170274,Jelani Thurman,TE,0,,2028,260,,55.3,67.4,,,,15,0,1,0,0,2,0,0,2,2,0,OHIO STATE,OHIO STATE,,56
170414,Caden Creel,QB,0,,2028,196,39.8,63.8,76.9,58.3,65.7,60.1,12,0,1,32,0,1,10,22,65,33,32,JVILLE ST,JVILLE ST,,57.2
170422,Cam Griffin,G,0,,2028,196,,64,79.9,,,60.6,60,0,1,0,33,0,0,32,65,33,32,JVILLE ST,JVILLE ST,80.9,
170902,Landon Ellis,WR,0,,2028,197,15.6,51.4,77.5,,,68.2,13,0,1,0,0,18,0,29,47,18,29,JAMES MAD,JAMES MAD,,48.6
171271,Lynel Billups-Williams,WR,0,,2028,221,69.7,54.5,72.3,,,59.5,10,0,1,0,0,7,0,4,11,7,4,MIAMI OH,MIAMI OH,,55.1
171292,Greg Smith Jr.,G,0,,2028,221,,42.5,78.5,,,45.2,74,0,1,0,35,0,0,11,46,35,11,MIAMI OH,MIAMI OH,19.5,
171295,Cole Weaver,WR,0,,2028,221,64.1,66.5,78.3,,,62.7,84,0,1,0,0,47,0,22,69,47,22,MIAMI OH,MIAMI OH,,65.8
171896,Isaiah Jatta,T,0,2026,2026,128,,39.4,13.8,,,56.3,71,1,1,0,33,0,0,26,59,33,26,BYU,BYU,10.2,
171933,Taeshaun Lyons,WR,0,,2028,325,64.1,64.3,0,,,55.9,08,1,1,0,0,14,0,9,23,14,9,UNLV,UNLV,,67.8
171939,Keith Reynolds,WR,0,,2028,221,67.3,55,77.4,,58.6,60.7,00,0,1,0,1,38,2,10,51,39,12,MIAMI OH,MIAMI OH,67.9,55.2
172212,Lacota Dippre,TE,0,,2028,197,,40.7,77.2,,,47.7,15,0,1,0,2,19,0,18,39,21,18,JAMES MAD,JAMES MAD,69.8,42.2
172258,Josh Phifer,TE,0,,2028,197,,44.4,75.9,,,49.6,89,0,1,0,3,5,0,32,40,8,32,JAMES MAD,JAMES MAD,27.9,53.9
172260,Riley Robell,G,0,,2029,197,,57.6,0,,,59.8,55,1,1,0,24,0,0,32,56,24,32,JAMES MAD,JAMES MAD,67.6,
172347,Ethan Conner,TE,0,2026,2026,318,66,53.5,77.2,,57.8,59,14,0,1,0,16,30,1,6,53,46,7,TROY,TROY,34.7,60.1
